"Section","Parameter","Estimate_Lin","Estimate_IS"
"Fixed Effects","CL_pop",0.0147,NA
"Fixed Effects","V_pop",41.0465,NA
"Covariate Effects","HGT_V",-7.2905,NA
"Random Effects (SD)","omega_CL",0.6602,NA
"Random Effects (SD)","omega_V",0.2634,NA
"Error Model","a",1.5807,NA
"IC","OFV",1282.07,1277.42
"IC","AIC",1294.07,1289.42
"IC","BIC",1310.8,1306.14
"IC","BICc",1313.75,1309.1
