"Section","Parameter","Estimate_Lin","Estimate_IS"
"Fixed Effects","CL_pop",0.0071,NA
"Fixed Effects","V_pop",1.5324,NA
"Covariate Effects","WT_CL",1.1011,NA
"Covariate Effects","WT_V",0.9212,NA
"Random Effects (SD)","omega_CL",0.2016,NA
"Random Effects (SD)","omega_V",0.1681,NA
"Error Model","a",2.7574,NA
"IC","OFV",875.38,876.61
"IC","AIC",889.38,890.61
"IC","BIC",903.93,905.16
"IC","BICc",906.82,908.05
